"numero_visite","menage_id","enerc_kcal_s","sec_s","eau_s","graisse_s"
1,348,2268.14079453468,547.531612569165,4219.32568590932,78.4042386367321
1,354,2774.77034039328,599.613786386773,2375.85107768841,114.825897139698
1,53,3103.50377095193,646.026260106593,2808.47208666918,126.98952657029
1,18,2802.36072476745,619.924536021447,3457.16717693021,87.3696898416281
1,211,1297.53827327907,268.801329867661,2584.42716590899,47.7691075977683
1,130,1633.92462498546,396.920193319678,3062.2623556205,56.2907048480511
1,139,1914.47357658629,406.948090773083,2480.25046668573,76.7368347689882
1,159,1622.96223920445,425.391254999705,2252.92754962944,16.1036240426153
1,212,2817.13285021186,617.649715521836,3071.42732741544,86.9884554068327
1,147,1043.83866884898,265.922224454347,1563.7746404449,10.4237120838128
1,141,1119.47387916553,254.94921201086,2598.72310856366,28.8823596820235
1,164,1236.83125517376,288.10063833531,2053.28421762798,33.6073228956834
1,148,1522.75904194465,335.613694719389,1800.70328361599,46.7504123729616
1,52,1286.54300435662,292.716929733157,1610.18011671364,30.33958261621
1,161,916.27908454749,221.876040168241,2039.61102569835,47.217922329694
1,35,1287.98133428401,321.456449406266,1486.83126815963,14.2265613819063
1,204,3116.70566967249,508.3949325189,3435.3367065385,160.514221959114
1,363,1993.30585939395,409.714819745839,3148.07046292561,110.919800292671
1,158,1574.16243412018,363.285134805298,2524.9021406044,35.3792980771065
1,234,1553.59913943851,352.258051149905,2446.60961646551,33.3396928256154
1,124,2002.31017978072,441.358798564315,3015.58705931818,64.2984351557493
1,150,2066.94621023089,432.834283034802,2246.52425164402,86.8142305609286
1,222,1428.15584671766,362.059835486978,2354.08657465044,16.6805566450655
1,100,534.671407547981,129.381617981374,1145.26324505788,9.210319321841
1,137,800.236352306187,166.815763152212,1866.51117038074,11.0758838147223
1,338,688.310834960938,171.377356082916,1124.02473208237,7.86966304779053
1,220,3057.72615485549,601.153040728808,2114.68627975202,147.501188016295
1,65,958.066214073449,242.244048608944,1754.63533923168,4.794992797032
1,149,1624.32447449648,358.883903607881,1599.7130183725,40.823609959662
1,119,1497.01549087226,407.466228395045,3265.8600442118,20.202523837626
1,73,1950.82435142457,368.328613420188,1647.40358168894,108.351710278809
1,353,2059.56932323374,436.952044288449,2723.47682006396,91.4955109565109
1,343,1610.19976374254,385.177459413886,2222.2232037757,40.7843362040222
1,70,1756.2480801754,405.646399281836,2698.24587271371,34.1711529529095
1,22,3186.54070162487,658.835419155931,2223.72229959788,169.228916038465
1,127,919.40131108743,219.770480540627,2350.44819933451,16.072499185133
1,339,3380.52322320224,886.96519548886,3809.83491100676,61.4245048159003
1,142,1653.31688128552,323.370252151951,2858.70716423823,75.1789701124877
1,179,1072.08108799103,277.193755128488,2087.96431638946,7.91616043774784
1,36,2758.57312216443,654.410499372083,4319.62802695433,89.3522122993588
1,14,1040.35248444363,238.043232992753,1517.10113118543,18.1886637958854
1,38,3141.73089221001,787.668907064372,2434.84662064595,69.43389041996
1,238,1441.21123760843,344.077495630026,2029.07302636361,24.8379729986191
1,218,2351.02331433821,536.434986821413,2317.10876370311,35.5585102527142
1,47,2167.57468872619,450.92360660851,1821.49874034107,97.2691406058073
1,17,2100.10650000048,397.121442201376,2450.29465472436,104.647873926401
1,321,1918.91194237858,446.223113389581,2637.15478120568,41.8473847178817
1,185,198.86315612793,45.5678942871094,766.573157958984,3.53
1,332,974.299858579934,232.52198447029,1565.94057376941,19.3535570313931
1,345,1806.28548163652,438.787512326479,2830.75559875941,21.8914785757065
1,80,1465.32301907279,322.597320661204,2961.54241796557,56.719094336994
1,355,1546.0224848671,389.181544683456,1871.13607654762,30.6442119998932
1,133,2141.60099468342,511.345835811045,2293.9996332407,40.1207649926767
1,24,2359.36199109018,485.755631661713,2343.86792465419,99.9815916745067
1,63,1186.28336720335,273.388590053439,1384.38965822685,29.6355341857076
1,350,1191.2834659586,261.707495224476,1420.50830243826,34.3988610610962
1,347,1245.82461341441,299.29013166368,1971.62732421815,23.9381725009084
1,362,1999.906742616,440.73101112327,1950.51569008747,62.8664954512715
1,62,1129.0056642244,275.591612824433,2632.26227480061,22.7215816465691
1,162,1620.55292536139,363.790550134301,2299.46806488264,53.2549867061377
1,360,2314.15983222723,493.496127891779,2851.87640501237,93.0394297839999
2,62,1208.17456647813,272.180937010467,1776.99788741428,28.5399496592879
2,164,1366.47039061904,308.713837847829,1506.37791360843,35.7644353817701
2,347,1207.89702017009,284.678952004021,1849.0175696656,40.2107796247005
2,139,1221.54525724596,277.939901620954,2199.6567684702,34.5695465802848
2,137,1529.38306648242,351.584085398948,2197.07834882137,31.5178191215396
2,149,1830.85782992601,402.895417724848,2417.49821277976,51.2601987364292
2,161,1168.03361507401,269.524147291079,1518.37852188538,32.9479010080397
2,150,1099.63714153722,265.055222890362,2282.89491557421,27.0407763227373
2,362,682.112261928171,151.410629057378,1530.80230124196,19.8435559854954
2,36,1356.59838190269,294.436230574608,2119.94884880924,48.8565948791504
2,350,1372.47878268003,323.611180296183,1334.88538766837,23.627257232666
2,142,1886.92591155505,372.380647639453,1732.45357253152,95.1424094495773
2,119,1090.39025945768,252.340912359074,1510.91769829182,20.6480359521359
2,65,1235.99901780784,285.419685349047,1556.67537637037,38.0650410725474
2,179,1101.48979513689,279.304425103876,1504.10424797395,12.4548296938965
2,127,1231.00762149677,286.485969970331,1599.31447734465,30.3224995608777
2,159,1409.75383664951,320.783466637582,2081.94537935361,46.163531228885
2,130,1425.32667452782,301.136686164528,1791.60909498891,63.7331637977958
2,124,1519.46927742258,333.41029588291,2056.89460279635,57.7324221114516
2,70,730.27710459958,181.961040828033,1786.53415234794,13.666076347433
2,162,1277.23614052442,304.745729114583,1807.20025992794,33.4827970824391
2,158,1415.68764962897,295.128695376262,2113.2642222866,55.4476913627833
2,73,1010.15420275986,219.514795958936,1511.31210219866,35.546700001061
2,147,1100.16386567175,245.843418416679,1769.38492441446,31.5310184062123
2,148,1453.93193206787,342.659331298828,1951.13511755371,31.3920551147461
2,63,1657.27723500013,347.445033026218,1907.41045753908,65.3594723137617
2,238,1454.61923011208,335.277553883314,1874.06828764367,36.2382140048981
2,354,1240.46781930947,283.849322865593,3145.08199067892,45.2501073830128
2,234,1354.62232821226,309.225268951654,1667.14814246535,30.8906144304276
2,204,1562.77741712165,357.856953893185,2255.96903118086,38.2064709296703
2,211,1191.36858698678,288.363849234581,2269.11918862462,32.0322652309537
2,133,1443.83520913243,342.022459714293,1545.08376637232,39.4906739795208
2,222,1062.52093391851,250.658291559204,1955.30686399759,27.7782702137083
2,212,2057.59307625771,411.294790474701,1898.29218414612,104.008776155567
2,38,1564.86108235908,397.154111567664,2132.61478924401,35.7512792197466
2,80,1404.26468939483,300.008504585564,2062.49566315001,42.9504078115821
2,338,1476.88881381035,338.230255626297,3133.23029348984,40.9106896804571
2,343,1971.82082406729,427.740804019898,1771.14552044538,73.5694252669513
2,52,1174.1313760376,278.957974123001,1680.10757811165,23.5988703899384
2,53,2074.60971750832,450.838674053192,2305.41352988815,66.0478678541184
2,24,2025.56402993679,415.811874310398,2519.25729950247,76.1812977766991
2,35,1552.59555562961,376.810349673331,2052.64837536186,35.5233375387192
2,332,1068.62533203125,252.423273864746,1727.97502630615,17.7876070861816
2,355,2431.14063948515,478.947910052404,2937.88985982849,160.870146327987
2,353,2836.3547876668,516.138939810693,3500.08397565991,171.572403983414
2,339,669.569406242371,153.261719890594,3619.03416328812,21.7093649902344
2,348,1385.75467946723,280.751365314556,1996.91855334179,67.7253051900474
2,345,1513.2748157649,337.843116814137,1270.9361651597,66.2858797593117
2,360,1445.23849191174,338.13679750903,1736.73707767682,62.6092684091777
2,321,1355.95756051585,300.497546409404,1952.58002639081,36.6785286962122
2,14,1663.4102390244,406.093651267409,2826.01072731364,35.7804050465822
2,220,1978.46538086176,415.690152696729,1975.57983980381,75.638903105259
2,18,2146.02527616262,807.353550827146,1903.11753227746,47.8362496013641
2,22,1582.09130902767,331.749495018482,2066.772069942,59.058451385498
2,17,1285.53378185391,327.206059023261,1447.2904871856,40.474509913832
2,47,1190.36709603786,228.031659316063,2002.01287703609,64.4676642789841
2,100,1412.42094175229,282.696251948432,2158.76372168486,72.9742659912838
2,185,1827.437708143,399.607856703877,2712.38479797733,78.5267786339521
2,141,857.050374502406,193.545943806395,1455.19679299511,20.3918705151677
2,218,1051.74944659024,226.67989174962,1382.09388724029,37.936258875519
2,363,1401.81414007378,317.52405801487,1358.27903589535,42.0437261642456
