"","menage_id","enerc_kcal_s_1","enerc_kcal_s_2","sec_s_1","sec_s_2","eau_s_1","eau_s_2","graisse_s_1","graisse_s_2"
"1",348,2268.14079453468,1385.75467946723,547.531612569165,280.751365314556,4219.32568590932,1996.91855334179,78.4042386367321,67.7253051900474
"2",354,2774.77034039328,1240.46781930947,599.613786386773,283.849322865593,2375.85107768841,3145.08199067892,114.825897139698,45.2501073830128
"3",53,3103.50377095193,2074.60971750832,646.026260106593,450.838674053192,2808.47208666918,2305.41352988815,126.98952657029,66.0478678541184
"4",18,2802.36072476745,2146.02527616262,619.924536021447,807.353550827146,3457.16717693021,1903.11753227746,87.3696898416281,47.8362496013641
"5",211,1297.53827327907,1191.36858698678,268.801329867661,288.363849234581,2584.42716590899,2269.11918862462,47.7691075977683,32.0322652309537
"6",130,1633.92462498546,1425.32667452782,396.920193319678,301.136686164528,3062.2623556205,1791.60909498891,56.2907048480511,63.7331637977958
"7",139,1914.47357658629,1221.54525724596,406.948090773083,277.939901620954,2480.25046668573,2199.6567684702,76.7368347689882,34.5695465802848
"8",159,1622.96223920445,1409.75383664951,425.391254999705,320.783466637582,2252.92754962944,2081.94537935361,16.1036240426153,46.163531228885
"9",212,2817.13285021186,2057.59307625771,617.649715521836,411.294790474701,3071.42732741544,1898.29218414612,86.9884554068327,104.008776155567
"10",147,1043.83866884898,1100.16386567175,265.922224454347,245.843418416679,1563.7746404449,1769.38492441446,10.4237120838128,31.5310184062123
"11",141,1119.47387916553,857.050374502406,254.94921201086,193.545943806395,2598.72310856366,1455.19679299511,28.8823596820235,20.3918705151677
"12",164,1236.83125517376,1366.47039061904,288.10063833531,308.713837847829,2053.28421762798,1506.37791360843,33.6073228956834,35.7644353817701
"13",148,1522.75904194465,1453.93193206787,335.613694719389,342.659331298828,1800.70328361599,1951.13511755371,46.7504123729616,31.3920551147461
"14",52,1286.54300435662,1174.1313760376,292.716929733157,278.957974123001,1610.18011671364,1680.10757811165,30.33958261621,23.5988703899384
"15",161,916.27908454749,1168.03361507401,221.876040168241,269.524147291079,2039.61102569835,1518.37852188538,47.217922329694,32.9479010080397
"16",35,1287.98133428401,1552.59555562961,321.456449406266,376.810349673331,1486.83126815963,2052.64837536186,14.2265613819063,35.5233375387192
"17",204,3116.70566967249,1562.77741712165,508.3949325189,357.856953893185,3435.3367065385,2255.96903118086,160.514221959114,38.2064709296703
"18",363,1993.30585939395,1401.81414007378,409.714819745839,317.52405801487,3148.07046292561,1358.27903589535,110.919800292671,42.0437261642456
"19",158,1574.16243412018,1415.68764962897,363.285134805298,295.128695376262,2524.9021406044,2113.2642222866,35.3792980771065,55.4476913627833
"20",234,1553.59913943851,1354.62232821226,352.258051149905,309.225268951654,2446.60961646551,1667.14814246535,33.3396928256154,30.8906144304276
"21",124,2002.31017978072,1519.46927742258,441.358798564315,333.41029588291,3015.58705931818,2056.89460279635,64.2984351557493,57.7324221114516
"22",150,2066.94621023089,1099.63714153722,432.834283034802,265.055222890362,2246.52425164402,2282.89491557421,86.8142305609286,27.0407763227373
"23",222,1428.15584671766,1062.52093391851,362.059835486978,250.658291559204,2354.08657465044,1955.30686399759,16.6805566450655,27.7782702137083
"24",100,534.671407547981,1412.42094175229,129.381617981374,282.696251948432,1145.26324505788,2158.76372168486,9.210319321841,72.9742659912838
"25",137,800.236352306187,1529.38306648242,166.815763152212,351.584085398948,1866.51117038074,2197.07834882137,11.0758838147223,31.5178191215396
"26",338,688.310834960938,1476.88881381035,171.377356082916,338.230255626297,1124.02473208237,3133.23029348984,7.86966304779053,40.9106896804571
"27",220,3057.72615485549,1978.46538086176,601.153040728808,415.690152696729,2114.68627975202,1975.57983980381,147.501188016295,75.638903105259
"28",65,958.066214073449,1235.99901780784,242.244048608944,285.419685349047,1754.63533923168,1556.67537637037,4.794992797032,38.0650410725474
"29",149,1624.32447449648,1830.85782992601,358.883903607881,402.895417724848,1599.7130183725,2417.49821277976,40.823609959662,51.2601987364292
"30",119,1497.01549087226,1090.39025945768,407.466228395045,252.340912359074,3265.8600442118,1510.91769829182,20.202523837626,20.6480359521359
"31",73,1950.82435142457,1010.15420275986,368.328613420188,219.514795958936,1647.40358168894,1511.31210219866,108.351710278809,35.546700001061
"32",353,2059.56932323374,2836.3547876668,436.952044288449,516.138939810693,2723.47682006396,3500.08397565991,91.4955109565109,171.572403983414
"33",343,1610.19976374254,1971.82082406729,385.177459413886,427.740804019898,2222.2232037757,1771.14552044538,40.7843362040222,73.5694252669513
"34",70,1756.2480801754,730.27710459958,405.646399281836,181.961040828033,2698.24587271371,1786.53415234794,34.1711529529095,13.666076347433
"35",22,3186.54070162487,1582.09130902767,658.835419155931,331.749495018482,2223.72229959788,2066.772069942,169.228916038465,59.058451385498
"36",127,919.40131108743,1231.00762149677,219.770480540627,286.485969970331,2350.44819933451,1599.31447734465,16.072499185133,30.3224995608777
"37",339,3380.52322320224,669.569406242371,886.96519548886,153.261719890594,3809.83491100676,3619.03416328812,61.4245048159003,21.7093649902344
"38",142,1653.31688128552,1886.92591155505,323.370252151951,372.380647639453,2858.70716423823,1732.45357253152,75.1789701124877,95.1424094495773
"39",179,1072.08108799103,1101.48979513689,277.193755128488,279.304425103876,2087.96431638946,1504.10424797395,7.91616043774784,12.4548296938965
"40",36,2758.57312216443,1356.59838190269,654.410499372083,294.436230574608,4319.62802695433,2119.94884880924,89.3522122993588,48.8565948791504
"41",14,1040.35248444363,1663.4102390244,238.043232992753,406.093651267409,1517.10113118543,2826.01072731364,18.1886637958854,35.7804050465822
"42",38,3141.73089221001,1564.86108235908,787.668907064372,397.154111567664,2434.84662064595,2132.61478924401,69.43389041996,35.7512792197466
"43",238,1441.21123760843,1454.61923011208,344.077495630026,335.277553883314,2029.07302636361,1874.06828764367,24.8379729986191,36.2382140048981
"44",218,2351.02331433821,1051.74944659024,536.434986821413,226.67989174962,2317.10876370311,1382.09388724029,35.5585102527142,37.936258875519
"45",47,2167.57468872619,1190.36709603786,450.92360660851,228.031659316063,1821.49874034107,2002.01287703609,97.2691406058073,64.4676642789841
"46",17,2100.10650000048,1285.53378185391,397.121442201376,327.206059023261,2450.29465472436,1447.2904871856,104.647873926401,40.474509913832
"47",321,1918.91194237858,1355.95756051585,446.223113389581,300.497546409404,2637.15478120568,1952.58002639081,41.8473847178817,36.6785286962122
"48",185,198.86315612793,1827.437708143,45.5678942871094,399.607856703877,766.573157958984,2712.38479797733,3.53,78.5267786339521
"49",332,974.299858579934,1068.62533203125,232.52198447029,252.423273864746,1565.94057376941,1727.97502630615,19.3535570313931,17.7876070861816
"50",345,1806.28548163652,1513.2748157649,438.787512326479,337.843116814137,2830.75559875941,1270.9361651597,21.8914785757065,66.2858797593117
"51",80,1465.32301907279,1404.26468939483,322.597320661204,300.008504585564,2961.54241796557,2062.49566315001,56.719094336994,42.9504078115821
"52",355,1546.0224848671,2431.14063948515,389.181544683456,478.947910052404,1871.13607654762,2937.88985982849,30.6442119998932,160.870146327987
"53",133,2141.60099468342,1443.83520913243,511.345835811045,342.022459714293,2293.9996332407,1545.08376637232,40.1207649926767,39.4906739795208
"54",24,2359.36199109018,2025.56402993679,485.755631661713,415.811874310398,2343.86792465419,2519.25729950247,99.9815916745067,76.1812977766991
"55",63,1186.28336720335,1657.27723500013,273.388590053439,347.445033026218,1384.38965822685,1907.41045753908,29.6355341857076,65.3594723137617
"56",350,1191.2834659586,1372.47878268003,261.707495224476,323.611180296183,1420.50830243826,1334.88538766837,34.3988610610962,23.627257232666
"57",347,1245.82461341441,1207.89702017009,299.29013166368,284.678952004021,1971.62732421815,1849.0175696656,23.9381725009084,40.2107796247005
"58",362,1999.906742616,682.112261928171,440.73101112327,151.410629057378,1950.51569008747,1530.80230124196,62.8664954512715,19.8435559854954
"59",62,1129.0056642244,1208.17456647813,275.591612824433,272.180937010467,2632.26227480061,1776.99788741428,22.7215816465691,28.5399496592879
"60",162,1620.55292536139,1277.23614052442,363.790550134301,304.745729114583,2299.46806488264,1807.20025992794,53.2549867061377,33.4827970824391
"61",360,2314.15983222723,1445.23849191174,493.496127891779,338.13679750903,2851.87640501237,1736.73707767682,93.0394297839999,62.6092684091777
